                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.60449,                0.58747,                  1.108,                0.96455,                0.89951,                0.96012,                0.85773,                0.49983,                0.41332,                 1.0169,              0.0088615,              0.0088615,              0.0088615
                     48,                0.61504,                0.59136,                  1.111,                0.95273,                0.91158,                0.96637,                0.86287,                0.47842,                0.38708,                 1.0063,              0.0088368,              0.0088368,              0.0088368
                     49,                0.60345,                0.58436,                 1.1092,                0.95227,                0.90418,                0.96551,                0.86208,                0.48788,                0.39142,                 1.0121,               0.008812,               0.008812,               0.008812
                     50,                0.60656,                0.58529,                 1.1134,                0.95173,                0.89634,                0.96262,                0.85679,                0.48946,                 0.4053,                 1.0167,              0.0087872,              0.0087872,              0.0087872
                     51,                0.60751,                0.58269,                 1.1101,                0.96358,                0.90422,                0.96673,                0.86174,                0.48295,                0.39438,                  1.014,              0.0087625,              0.0087625,              0.0087625
                     52,                0.58805,                0.56429,                 1.0964,                 0.9592,                0.91414,                0.96721,                0.85997,                0.48171,                0.37974,                 1.0013,              0.0087378,              0.0087378,              0.0087378
                     53,                0.59947,                0.56962,                 1.0993,                0.95618,                0.89628,                0.95808,                 0.8627,                  0.482,                0.40377,                 1.0055,               0.008713,               0.008713,               0.008713
                     54,                0.59598,                0.57522,                 1.1013,                0.95208,                 0.9183,                0.96706,                0.85748,                0.49506,                0.39803,                 1.0228,              0.0086882,              0.0086882,              0.0086882
                     55,                0.59785,                0.56694,                 1.1027,                0.96059,                0.91512,                0.96361,                0.86376,                0.47227,                0.38482,                0.99401,              0.0086635,              0.0086635,              0.0086635
                     56,                0.58593,                0.55268,                 1.0989,                0.94647,                0.93871,                0.96971,                0.87333,                  0.478,                0.37076,                0.99755,              0.0086388,              0.0086388,              0.0086388
                     57,                0.58651,                0.57295,                 1.0978,                0.95631,                0.92493,                0.96627,                0.86649,                0.47001,                0.37666,                0.99808,               0.008614,               0.008614,               0.008614
                     58,                0.58609,                 0.5578,                 1.1002,                0.93459,                0.91669,                0.96242,                0.86167,                0.46989,                0.39026,                0.99933,              0.0085893,              0.0085893,              0.0085893
                     59,                0.58444,                0.54673,                 1.0967,                0.95467,                0.90277,                0.96277,                0.86704,                0.48351,                0.38331,                  1.002,              0.0085645,              0.0085645,              0.0085645
                     60,                0.56555,                0.54311,                 1.0879,                0.94194,                0.93152,                0.96896,                0.87496,                0.46872,                0.36151,                0.99222,              0.0085398,              0.0085398,              0.0085398
                     61,                0.58184,                0.55492,                  1.091,                 0.9601,                0.90995,                0.96651,                0.86497,                0.47511,                0.37591,                0.99887,               0.008515,               0.008515,               0.008515
                     62,                0.57666,                 0.5463,                 1.0904,                0.95817,                0.91797,                0.96902,                0.87738,                0.45623,                0.36578,                0.98557,              0.0084903,              0.0084903,              0.0084903
                     63,                0.58035,                0.54007,                 1.0983,                0.94181,                0.91726,                0.96702,                0.87169,                0.47465,                0.38269,                0.99749,              0.0084655,              0.0084655,              0.0084655
                     64,                0.57037,                 0.5252,                 1.0831,                0.95832,                0.92869,                0.96787,                0.87068,                0.47191,                0.37035,                0.99449,              0.0084408,              0.0084408,              0.0084408
                     65,                0.56745,                0.53945,                 1.0869,                0.97118,                0.91449,                0.96719,                0.87659,                0.44826,                0.35651,                0.98216,               0.008416,               0.008416,               0.008416
                     66,                0.56965,                0.53167,                 1.0906,                0.95333,                0.92395,                0.96464,                0.87174,                0.46292,                0.36221,                0.99665,              0.0083913,              0.0083913,              0.0083913
                     67,                0.56282,                0.52595,                 1.0817,                0.95203,                0.93075,                0.97078,                 0.8759,                0.46728,                0.36693,                0.98686,              0.0083665,              0.0083665,              0.0083665
                     68,                0.56263,                0.52963,                 1.0842,                0.96181,                0.91985,                0.97045,                0.87421,                0.45672,                 0.3578,                0.98411,              0.0083418,              0.0083418,              0.0083418
                     69,                0.56194,                0.52887,                 1.0873,                0.96229,                0.92941,                0.97243,                0.87497,                0.46827,                0.35345,                0.99407,               0.008317,               0.008317,               0.008317
                     70,                0.56514,                0.52821,                 1.0855,                0.97253,                0.90538,                0.97054,                0.87493,                0.45921,                0.36176,                0.98374,              0.0082922,              0.0082922,              0.0082922
                     71,                0.55905,                0.52126,                 1.0809,                0.94809,                0.93084,                0.97336,                0.87941,                0.46008,                0.34813,                0.98094,              0.0082675,              0.0082675,              0.0082675
                     72,                0.56164,                0.52499,                 1.0753,                0.95877,                0.92208,                0.97054,                0.87807,                0.45074,                0.35187,                0.97788,              0.0082428,              0.0082428,              0.0082428
                     73,                0.55565,                0.51667,                 1.0776,                0.94952,                0.92892,                0.97119,                0.87519,                0.45924,                0.36209,                0.98598,               0.008218,               0.008218,               0.008218
                     74,                0.55282,                0.50306,                  1.074,                0.96061,                0.91276,                0.96609,                0.87563,                0.45802,                0.35423,                0.99384,              0.0081932,              0.0081932,              0.0081932
                     75,                 0.5593,                0.50902,                 1.0795,                0.95849,                0.94074,                0.97459,                0.88503,                0.44905,                0.33457,                0.97792,              0.0081685,              0.0081685,              0.0081685
                     76,                0.54305,                 0.4973,                 1.0737,                0.94363,                0.93355,                0.97023,                0.87886,                0.44619,                0.34511,                0.97671,              0.0081437,              0.0081437,              0.0081437
                     77,                0.54684,                  0.503,                 1.0731,                0.96485,                0.92768,                 0.9716,                0.88442,                  0.453,                0.35015,                0.97891,               0.008119,               0.008119,               0.008119
                     78,                0.54882,                 0.5002,                 1.0679,                 0.9532,                 0.9291,                0.96873,                 0.8741,                 0.4453,                0.35358,                0.97875,              0.0080942,              0.0080942,              0.0080942
                     79,                0.55315,                0.50296,                 1.0722,                 0.9634,                0.92611,                0.97097,                0.87806,                0.44408,                 0.3407,                0.97237,              0.0080695,              0.0080695,              0.0080695
                     80,                0.54172,                0.49528,                 1.0639,                0.96643,                0.92287,                0.97321,                0.88769,                0.44488,                0.34445,                0.97128,              0.0080447,              0.0080447,              0.0080447
                     81,                0.53733,                 0.4938,                 1.0674,                 0.9655,                0.90431,                0.97242,                0.88271,                0.44518,                0.35243,                0.97652,                0.00802,                0.00802,                0.00802
                     82,                0.53276,                0.48795,                  1.058,                0.96049,                0.92978,                0.97446,                0.88533,                0.44271,                0.34771,                0.97677,              0.0079953,              0.0079953,              0.0079953
                     83,                0.54244,                0.49455,                 1.0689,                0.97019,                0.92338,                0.97473,                0.88594,                0.44399,                0.34164,                0.97307,              0.0079705,              0.0079705,              0.0079705
                     84,                0.53896,                0.49857,                 1.0689,                0.95841,                0.92206,                0.97152,                0.88426,                0.44511,                0.34868,                0.97192,              0.0079457,              0.0079457,              0.0079457
                     85,                0.52766,                0.48436,                 1.0592,                0.96372,                0.92375,                0.96974,                0.88451,                0.44424,                0.34237,                0.98101,               0.007921,               0.007921,               0.007921
                     86,                0.53486,                0.48129,                 1.0611,                0.96032,                 0.9249,                0.97171,                0.88307,                0.44126,                0.34174,                0.96944,              0.0078963,              0.0078963,              0.0078963
                     87,                0.53736,                  0.476,                 1.0659,                0.96148,                0.93727,                0.97174,                0.88229,                0.43822,                0.33382,                0.96196,              0.0078715,              0.0078715,              0.0078715
                     88,                0.53625,                0.48532,                 1.0627,                0.96233,                0.92599,                0.97478,                0.88515,                0.43834,                0.33962,                0.97009,              0.0078467,              0.0078467,              0.0078467
                     89,                0.53452,                0.48886,                  1.061,                0.95837,                0.91911,                0.96907,                0.88324,                0.44561,                0.35514,                0.98336,               0.007822,               0.007822,               0.007822
                     90,                0.52839,                0.47843,                 1.0579,                0.96476,                0.93191,                 0.9717,                0.88482,                 0.4481,                0.34237,                0.97561,              0.0077973,              0.0077973,              0.0077973
                     91,                0.52842,                0.47319,                 1.0587,                0.95575,                0.92674,                 0.9693,                0.88042,                0.44419,                 0.3537,                0.98234,              0.0077725,              0.0077725,              0.0077725
                     92,                0.52718,                0.48857,                 1.0552,                0.96393,                0.94611,                0.97695,                 0.8887,                  0.441,                0.32095,                0.96972,              0.0077478,              0.0077478,              0.0077478
                     93,                0.52695,                0.47224,                 1.0584,                 0.9593,                0.93336,                0.97475,                0.88452,                0.45021,                0.33574,                0.98223,               0.007723,               0.007723,               0.007723
                     94,                0.51737,                0.46369,                 1.0489,                0.96739,                0.92034,                0.97207,                0.88342,                0.44359,                0.33829,                0.97313,              0.0076983,              0.0076983,              0.0076983
                     95,                0.52595,                0.46858,                 1.0582,                0.95711,                0.93722,                0.97491,                 0.8875,                0.43367,                0.33082,                0.96732,              0.0076735,              0.0076735,              0.0076735
                     96,                0.51657,                0.46526,                 1.0526,                0.96341,                0.93176,                0.97269,                0.88439,                0.44558,                 0.3314,                0.98586,              0.0076488,              0.0076488,              0.0076488
                     97,                0.51554,                0.46978,                 1.0523,                0.96301,                0.93215,                0.97461,                0.88159,                0.44181,                0.33058,                0.97628,               0.007624,               0.007624,               0.007624
                     98,                0.51864,                0.46552,                 1.0464,                0.96817,                0.92439,                   0.97,                0.88063,                0.43782,                0.33635,                0.97054,              0.0075993,              0.0075993,              0.0075993
                     99,                0.51209,                0.44992,                 1.0479,                0.96329,                0.93592,                0.97426,                0.88733,                0.43713,                0.33098,                0.97179,              0.0075745,              0.0075745,              0.0075745
                    100,                0.51403,                0.46253,                 1.0529,                0.97434,                0.92863,                0.97684,                0.88846,                0.43867,                0.32852,                0.97771,              0.0075498,              0.0075498,              0.0075498
                    101,                0.50799,                0.45903,                 1.0432,                0.97685,                0.93742,                 0.9774,                 0.8939,                0.43993,                0.32496,                 0.9682,               0.007525,               0.007525,               0.007525
                    102,                0.51306,                0.46032,                  1.052,                0.96504,                0.93048,                0.97371,                0.88987,                0.43076,                0.32289,                0.96407,              0.0075003,              0.0075003,              0.0075003
                    103,                0.51593,                0.46066,                 1.0483,                0.96707,                0.93014,                0.97363,                0.88448,                 0.4428,                0.32887,                0.97529,              0.0074755,              0.0074755,              0.0074755
                    104,                0.51119,                0.45227,                 1.0491,                0.96622,                0.93493,                0.97621,                0.89016,                0.42963,                0.31851,                0.96461,              0.0074507,              0.0074507,              0.0074507
                    105,                0.50127,                0.45241,                 1.0425,                0.96237,                0.92963,                0.97241,                0.89117,                0.43136,                0.33463,                0.96891,               0.007426,               0.007426,               0.007426
                    106,                0.50981,                0.45175,                 1.0457,                0.94807,                0.92701,                0.97265,                0.89203,                0.43428,                0.32344,                0.97015,              0.0074013,              0.0074013,              0.0074013
                    107,                0.50766,                0.45334,                 1.0438,                0.95958,                0.92835,                0.97103,                0.88341,                  0.437,                 0.3448,                0.96872,              0.0073765,              0.0073765,              0.0073765
                    108,                0.50622,                0.44707,                 1.0452,                0.95909,                0.92843,                0.97156,                0.89094,                0.42624,                0.33272,                0.96655,              0.0073517,              0.0073517,              0.0073517
                    109,                0.51535,                0.44791,                 1.0482,                0.95711,                0.93596,                0.97421,                 0.8887,                0.43828,                0.33186,                0.96887,               0.007327,               0.007327,               0.007327
                    110,                0.50167,                0.43713,                 1.0415,                0.95706,                0.92331,                0.96878,                  0.884,                0.44494,                0.34193,                0.97783,              0.0073023,              0.0073023,              0.0073023
                    111,                0.50917,                 0.4488,                 1.0426,                0.95804,                0.92223,                0.97325,                0.88489,                0.43432,                0.32917,                0.96814,              0.0072775,              0.0072775,              0.0072775
                    112,                0.50125,                0.44413,                 1.0412,                0.96254,                0.93579,                0.97581,                0.88718,                0.43813,                0.31894,                0.97017,              0.0072527,              0.0072527,              0.0072527
                    113,                0.50263,                0.44337,                 1.0438,                0.95423,                0.93518,                0.97229,                0.88858,                0.43511,                 0.3217,                0.97222,               0.007228,               0.007228,               0.007228
                    114,                0.49414,                 0.4394,                 1.0353,                0.96832,                0.93093,                0.97082,                0.88995,                0.42575,                0.32076,                0.96616,              0.0072033,              0.0072033,              0.0072033
                    115,                0.50477,                0.44361,                 1.0412,                0.95445,                0.94015,                0.97539,                0.89209,                0.42491,                0.31526,                0.96521,              0.0071785,              0.0071785,              0.0071785
